alpha,mmse,qw,q2
2.3,0.04642625732037603,0.9708391111111111,0.9537509688888888
2.1,0.0880849642761536,0.932807111111111,0.9111489422222222
2.5,0.02163340778271151,0.9873173333333333,0.977780005925926
2.7,0.016323737816714985,0.9911466666666665,0.9838705777777779
2.9,0.009177589238880976,0.9951324444444445,0.990824580740741
2.3,0.03268415705506712,0.9808391111111111,0.9679358103703702
2.5,0.017517829284210844,0.9904462222222223,0.9824881777777777
2.2,0.05348639693180665,0.9658062222222221,0.9470309925925926
2.7,0.015181050561690692,0.9917315555555557,0.9849279762962962
2.1,0.10447319069215671,0.9170577777777779,0.8954303288888888
2.4,0.03784592657619751,0.9777422222222221,0.9624738607407408
2.9,0.01070301731297091,0.9943519999999999,0.9893661155555555
2.6,0.012597403783500539,0.9931093333333334,0.9874722133333336
2.8,0.009366537089441806,0.9949599999999998,0.9905976177777778
3.0,0.004832740671900649,0.9974897777777777,0.9951477096296297
2.2,0.054764762106135824,0.9638417777777779,0.9450299022222223
2.4,0.03802768888466535,0.976408888888889,0.9620209303703703
2.1,0.07542636934129779,0.945703111111111,0.9252328296296297
2.6,0.021303976173257567,0.9878186666666667,0.9786045629629629
2.8,0.014883380038629206,0.9914897777777777,0.9849170725925928
3.0,0.004681252056314834,0.9975395555555554,0.9952484503703704
2.2,0.057412634258966574,0.9614062222222222,0.9423867022222221
2.4,0.02203592082375944,0.9875911111111114,0.9780281362962963
2.1,0.09116098457529982,0.9287431111111111,0.9076298903703703
2.6,0.01755036914520787,0.9902577777777776,0.9821657599999999
2.8,0.010394714777223202,0.9941599999999998,0.9894052266666669
3.0,0.005720792196206308,0.9969831111111113,0.9942297362962964
2.2,0.04955638289826236,0.9685564444444447,0.9503746133333331
2.4,0.04007529529698848,0.9742826666666667,0.9596255288888887
2.1,0.1056853594621712,0.9117457777777779,0.8949209362962962
2.6,0.018889880961359105,0.9898275555555556,0.981312474074074
2.8,0.018510012277402683,0.9896782222222222,0.9816054992592591
0.2,0.7840986013465239,0.0023253333333333333,0.20546872888888895
0.4,0.6208693560719533,0.011616,0.3805850548148148
0.6,0.47962900763541966,0.004798222222222221,0.511060882962963
0.8,0.4032384193892429,0.11985244444444447,0.5944680533333334
1.0,0.3511035014890439,0.11387733333333332,0.6508242488888889
1.2,0.291741002609117,0.2989511111111111,0.7080035081481482
3.0,0.005596516868863044,0.9971182222222221,0.994422968888889
1.4,0.26902447717354405,0.33995200000000003,0.732175668148148
0.2,0.7882380186032014,-0.0021653333333333333,0.20933257481481482
0.4,0.6185334126117605,0.011573333333333331,0.3865434548148148
0.6,0.4945707571447436,0.011674666666666668,0.5074289540740741
0.8,0.4063795026542141,0.08052088888888889,0.5980470755555556
1.0,0.3428059980720014,0.1311128888888889,0.6579894755555555
1.2,0.29811239613007734,0.3101244444444444,0.6977594548148147
1.4,0.2703377388246417,0.335072,0.7320722014814816
2.2,0.056359762124137555,0.9633422222222222,0.9436681481481483
0.2,0.7764135763692931,0.0032942222222222223,0.20715584
0.4,0.6102326793697377,-0.007232000000000001,0.3834516385185185
0.6,0.4870375296333532,0.004119111111111112,0.5158753896296296
0.8,0.41560527376727024,0.08309866666666667,0.5872579555555554
1.0,0.34433093879611676,0.09822577777777777,0.6559213037037037
1.2,0.3040582563318104,0.26775822222222223,0.6984093392592594
2.4,0.03234185698956232,0.9804355555555557,0.9675439644444443
2.1,0.05429589604236495,0.9647484444444444,0.946016165925926
1.4,0.2601366993079246,0.31147733333333333,0.7384450844444445
0.2,0.8114189355060227,0.012106666666666668,0.19377474370370373
0.4,0.6272843136498051,0.013470222222222222,0.36936322370370367
0.6,0.4883395562273489,0.030577777777777787,0.5090337185185185
0.8,0.40686900038881296,0.10967466666666667,0.5908182281481481
1.0,0.33943420060775914,0.09216177777777776,0.6614141866666666
2.6,0.014367448383479538,0.9921262222222222,0.9855403377777779
1.2,0.2931041778533793,0.3067573333333333,0.7053268622222223
1.4,0.27539758116522706,0.3191857777777778,0.7274607881481481
0.2,0.7770415540365514,0.019895111111111113,0.21154206814814813
0.4,0.6076592447047833,-0.004287999999999999,0.3936192474074074
0.6,0.48959202901565635,0.02738488888888889,0.5089649777777777
2.8,0.014248259466986088,0.9921671111111112,0.9859293866666667
0.8,0.4016115839598449,0.11037333333333336,0.5959463585185185
1.0,0.3492425038119076,0.10992533333333332,0.6547012503703705
